Sample;Este (X);Norte (Y);Altura (Z);Litología;Productividad;Método;Ag_ppm;Al_pct;As_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Hf_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Sc_ppm;Se_ppm;Sr_ppm;Ta_ppm;Te_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Zn_ppm;Zr_ppm
PA-64;992125.170;1104733.7;597.58;Lcc;No productiva;MA250;0.04;4.57;10.5;32;0.5;0.38;8.84;0.39;22.04;9.8;13;0.05;4;1.19;15.01;0.03;0.01;0.11;10.2;1.2;2.53;776;0.96;5.012;3.33;8.6;0.121;1.72;3.6;0;0.22;0.71;4.9;0.15;62;0.2;2.91;4.4;0.094;0.05;1.3;83;0.4;6.2;37.1;1
PA-65;992128.97;1104732.95;597.58;Lcc;No productiva;MA250;0.08;2.89;8.8;66;1;0.17;11.88;0.44;50.27;6.7;19;0.05;4.2;1.37;11.49;0.01;0.02;0.27;23.7;3.7;3.36;1135;0.58;3.562;1.24;9.3;0.077;1.67;7.1;0;0.27;0.38;7.2;0.15;95;0.05;3.41;2.8;0.035;0.05;0.7;143;0.2;8.4;44.4;0.4
PA-66;992016.511;1104918.31;643.03;Lcc;No productiva;MA250;0.09;3.26;14.4;18;0.5;0.39;15.56;1.71;18.56;14.1;12;0.05;8.3;2.24;7.37;0.12;0.01;0.06;8.3;4.2;4.72;1649;1.02;2.744;2.37;15.2;0.182;1.27;3;0;0.38;0.72;8.1;0.5;140;0.2;4.21;3.3;0.071;0.03;1.8;52;0.5;12.9;227;6.9
PA-71;992108.38;1104621.49;490.6;Lcc;No productiva;MA250;0.084;3.19;7.4;188;1;0.15;13.41;1.05;6.88;6.2;23;0.05;4.9;1.7;10.62;0.08;0.02;0.37;2.9;3.8;4.66;1535;0.65;3.005;1.5;6.2;0.046;0.91;10.9;0.001;0.49;0.41;8.3;0.15;108;0.1;4.38;0.9;0.053;0.025;0.5;160;0.2;6.6;56.5;1.7
PA-73;992141.911;1104726.06;526.87;Lcc;No productiva;MA250;0.149;6.32;29.4;444;0.5;1.16;14.07;1.37;134.43;10.3;17;0.05;10;1.11;17.25;0.56;0.01;0.08;62.2;6.9;0.38;522;3.25;5.572;5.12;22.3;0.271;4.32;1.5;0.003;0.45;1.89;6.9;0.7;74;0.4;2.43;11.1;0.147;0.17;3;78;0.7;17.1;77.8;24.4
RC-002636;992794.0.6;1103571.71;567.31;Lcc;No productiva;ME-MS61;1.45;10.2;52.6;870;3.8;0.27;1.92;21.1;55.3;14.7;151;8.13;86.2;3.16;25.3;0.1;0.065;1.79;27.9;49.5;0.52;217;83.2;0.98;11.6;156.5;1040;20.2;116.5;0.059;2.6;56;16.4;34;654;0.76;0.1;9.99;0.34;5.56;5.4;632;1.6;8.1;531;3.9
RC-002637;992788.0.45;1103570.72;565.78;Lcc;No productiva;ME-MS61;1.66;10.35;71.9;820;3.52;0.3;2.24;17.55;54.8;14.6;151;8.8;86.4;3.41;25.2;0.2;0.05;1.84;26.7;51.5;0.39;139;64.6;0.96;12.7;164.5;1070;21.5;111;0.031;3.33;65.3;16.2;39;694;0.79;0.1;10.2;0.371;5.3;3.8;624;1.9;6.9;308;4.5
RC-002638;992781.0.93;1103569.58;564.1;Lcc;No productiva;ME-MS61;1.45;9.29;52.9;800;2.78;0.25;4.73;14.25;55.9;9.6;146;8.55;92.5;2.98;23.4;0.1;0.05;1.66;27.4;47.6;0.45;151;74.3;0.9;12.3;136.5;1210;21.2;91.1;0.036;2.67;58;15.2;35;648;0.76;0.09;9;0.344;4.81;5.6;572;1.6;8;349;4.4
RC-002639;992776.0.55;1103568.63;562.55;Lcc;No productiva;ME-MS61;1.54;9.62;62.5;830;2.98;0.27;4.65;11.9;57.3;12.5;143;8.94;79.9;3.26;23.9;0.1;0.047;1.75;28.6;47.6;0.56;181;64.6;0.9;13.8;152;1240;19.2;96.5;0.027;2.76;59.3;16.5;33;631;0.89;0.09;11.55;0.38;4.7;4.9;644;1.9;8.3;302;4.5
RC-002641;992770.0.51;1103567.56;560.9;Lcc;No productiva;ME-MS61;1.67;9.63;72.4;410;2.96;0.33;3.13;9.54;52.3;12.6;130;10.15;84.7;3.21;28.5;0.1;0.035;1.85;24.2;49.4;0.19;116;60.2;0.83;13.7;159;960;24.1;105;0.028;3.49;68.1;16.2;38;673;0.83;0.12;9.22;0.388;5.27;3.2;740;1.7;6.3;233;3.9
RC-002642;992765.0.9;1103566.75;559.65;Lcc;No productiva;ME-MS61;1.65;8.95;66.9;520;2.53;0.29;4.04;16.9;57.8;11.6;144;10;102;2.63;25.9;0.2;0.065;1.79;26.3;41.1;0.21;124;107;0.75;13;155.5;1010;21.8;96.6;0.044;2.76;62.8;15.8;34;587;0.79;0.11;9.23;0.373;5.93;6.3;771;1.6;7.1;422;4.9
RC-002643;992764.0.33;1103566.47;559.22;Lcc;No productiva;ME-MS61;1.24;9.35;84;290;2.2;0.24;5.93;11.75;70.5;14.7;123;9.43;92.7;4.84;24.4;0.2;0.048;1.75;35.5;35.1;0.65;176;108;0.69;11.8;150;1180;17.5;114.5;0.038;4.69;60.9;15.8;41;520;0.75;0.09;10.25;0.341;5.7;9.7;872;1.6;11.2;354;5.5
RC-002644;992763.0.5;1103566.25;558.87;Lcc;No productiva;ME-MS61;1.33;9.9;87.7;450;3;0.31;4.32;8.74;49.1;17.3;127;11.1;75.6;3.62;30;0.1;0.045;2.07;22.4;44.4;0.3;134;70.6;0.75;16.7;166;1510;20.5;117.5;0.033;3.78;64;18.7;42;578;1.06;0.11;11.4;0.42;6.4;4.6;946;2.2;8.6;228;3.9
RC-002455;992794.0.53;1103571.8;558.17;Lcc;No productiva;ME-MS61;0.9;4.33;350;50;2.49;0.19;0.52;271;17.6;93.7;53;3.7;300;25.4;11.05;0.1;0.095;0.87;8.6;13.5;0.06;1780;78.9;0.3;4.4;456;840;20;65.2;0.032;10;130.5;8.6;109;191;0.3;0.08;4.33;0.123;3.57;6.2;460;1;21.1;3700;3.2
RC-002456;992789.0.34;1103570.88;552.9;Lcc;No productiva;ME-MS61;1.1;7.89;91.9;210;2.53;0.22;4.05;62;57.3;18.4;157;7.14;146;4.53;20.6;0.1;0.066;1.56;29.3;23.4;0.39;306;108.5;0.53;10;183.5;1390;17;111.5;0.046;3.95;52.5;12.9;63;380;0.65;0.1;9.59;0.282;5.59;8.8;820;1.4;11.9;922;3.8
RC-002457;992782.0.73;1103569.72;546.19;Lcc;No productiva;ME-MS61;0.95;7.63;98.2;400;2.09;0.21;6.11;33.6;60.9;16.8;131;7.78;174;3.34;20.6;0.1;0.074;1.68;30.1;18.1;0.39;237;142;0.46;9.8;177;1670;15.6;110;0.058;2.92;53.2;13;47;335;0.62;0.1;9.41;0.272;6.66;13.5;1120;1.5;13.7;775;4.5
RC-002458;992779.0.42;1103569.13;542.83;Lcc;No productiva;ME-MS61;0.96;7.69;89.6;200;2.28;0.22;7.3;22.1;50;14.2;97;7.42;79.3;4.16;19.75;0.2;0.061;1.55;24.1;24.1;0.24;264;95.2;0.52;9.9;162;1300;14.1;103;0.039;4.03;56.9;11.9;33;423;0.63;0.08;8.98;0.275;5.32;9.8;715;1.4;13.5;659;5.6
RC-002459;992777.0.3;1103568.76;540.67;Lcc;No productiva;ME-MS61;0.23;2.09;27.5;350;0.58;0.06;22.9;5.14;19;12.5;26;1.57;22.6;5.21;5;0.2;0.036;0.39;9.2;7.2;1.77;510;29.7;0.16;2.3;52.5;500;3.5;29.8;0.013;3.1;13.15;4.7;18;355;0.16;0.025;2.21;0.067;1.26;3.6;189;0.3;16.6;186;6
RC-002461;992774.0.83;1103568.32;538.17;Lcc;No productiva;ME-MS61;0.92;8.15;63.2;220;2.44;0.24;8.83;10.75;51.4;11.2;97;7.79;47.7;4.45;21.4;0.2;0.056;1.54;25.1;33.1;0.29;181;67.5;0.65;11.6;134.5;1340;14.3;98.3;0.035;4.58;56.3;12.9;24;534;0.77;0.06;10.05;0.327;4.59;6;563;1.5;13.1;234;6.1
RC-002462;992771.0.39;1103567.72;534.67;Lcc;No productiva;ME-MS61;0.66;6.22;29.9;550;1.9;0.14;16.1;7.97;72.1;10.2;74;5.32;32.1;2.7;15.15;0.4;0.04;1.13;36.8;22.3;0.58;467;53.3;0.47;8.4;119;750;7.5;86.2;0.027;1.42;31.6;10.3;15;520;0.54;0.05;8.22;0.232;3.24;4.7;439;1;17.1;580;11.2
RC-002463;992768.0.29;1103567.17;531.53;Lcc;No productiva;ME-MS61;0.59;5.72;47.7;520;1.7;0.16;16.55;10.45;46.4;6;79;5.05;44.7;2.77;13.35;0.2;0.042;1.09;23.9;22.4;0.74;304;57.2;0.4;6.9;96.1;890;9.1;82.7;0.033;1.92;35.9;9.9;18;434;0.47;0.05;7.01;0.201;3.47;5.7;514;1;15.4;201;5.6
RC-002464;992764.0.97;1103566.58;528.16;Lcc;No productiva;ME-MS61;0.77;7.45;73.5;300;2.04;0.2;8.46;27.7;53;8.6;112;7.11;259;2.74;17.75;0.2;0.067;1.58;26.7;20.3;0.43;188;156;0.45;9.1;142;1290;12.2;119.5;0.044;2.44;46.6;12.8;28;334;0.61;0.08;8.94;0.26;5.65;17.7;1040;1.5;11;502;5.1
RC-002465;992762.0.76;1103566.19;525.91;Lcc;No productiva;ME-MS61;0.81;6.71;95.7;150;1.72;0.21;9.72;30.1;59.2;11.6;125;6.73;163.5;4.22;15.9;0.1;0.086;1.44;31.5;16.8;0.61;288;153.5;0.37;8.3;155.5;1290;12.5;109.5;0.039;3.56;54.7;11.7;43;304;0.54;0.09;8.64;0.231;5.5;17.7;1010;1.3;11.8;679;5
RC-002466;992760.0.48;1103565.79;523.6;Lcc;No productiva;ME-MS61;0.64;6.7;64.2;350;1.72;0.19;9.42;23;53.7;6.8;109;6.67;89.1;2.7;16.4;0.6;0.077;1.45;27.6;16.5;0.59;213;121;0.38;8.3;122.5;1410;11.3;112.5;0.042;2.1;38.8;11.6;23;300;0.56;0.09;8.47;0.234;5.17;17.4;1040;1.4;13.5;712;10.5
RC-002467;992757.0.73;1103565.31;520.8;Lcc;No productiva;ME-MS61;0.8;7.87;54.4;400;2.42;0.26;6.34;15.7;65.6;7.7;107;7.43;49.8;2.67;19.9;0.1;0.061;1.61;31.7;30.7;0.3;160;112.5;0.65;11.4;137;1600;13.4;80.8;0.032;2.56;48.7;12.7;18;448;0.73;0.07;9.06;0.311;4.86;9.7;694;1.5;10.1;351;4
RC-002468;992755.0.39;1103564.9;518.43;Lcc;No productiva;ME-MS61;0.52;6.03;34.5;520;1.69;0.17;15.45;7.93;47.7;6.9;71;5.33;25.2;2.93;13.9;0.4;0.054;1.07;24.5;24.2;0.81;294;58.2;0.5;7.4;89.5;770;8.1;81.8;0.027;1.85;31.3;10.3;14;435;0.49;0.025;7.56;0.209;3.12;5.8;447;1.1;16.3;195;10.2
RC-002469;992753.0.97;1103564.64;516.98;Lcc;No productiva;ME-MS61;0.72;7.43;31.2;620;1.64;0.19;12.45;14.75;70;6.3;79;6.16;126.5;2.39;17.55;0.2;0.071;1.28;36.2;34.4;0.55;242;48.7;0.67;9.1;87.7;740;8.8;93.8;0.031;1.5;34.9;13.2;16;621;0.61;0.06;9.32;0.264;3.42;4.5;525;1.3;9.1;740;6.7
RC-002470;992752.0.89;1103564.45;515.89;Lcc;No productiva;ME-MS61;0.9;9.01;35.3;730;3.19;0.27;4.14;9.97;36.1;9;100;8.85;39.2;2.2;25.3;0.1;0.043;1.68;16.4;62.6;0.21;117;73.1;0.96;14.8;107;1040;12.4;82.1;0.031;2.17;49.2;15;12;714;0.97;0.07;8.31;0.403;4.42;4.3;515;1.8;4.9;182;4.3
RC-002471;992749.0.79;1103563.91;512.74;Lcc;No productiva;ME-MS61;0.73;8.54;31.3;620;2.4;0.22;7.03;7.74;65.7;9.4;85;6.9;31.6;4.22;20;0.2;0.031;1.3;32.3;54.1;1.43;256;46.5;0.86;12;89.7;940;11;70.3;0.022;2.98;41.9;14.1;12;645;0.76;0.025;11.3;0.331;3.33;4.1;351;1.4;9.4;183;5.9
RC-002472;992747.0.42;1103563.49;510.34;Lcc;No productiva;ME-MS61;0.45;5.04;27.2;360;0.97;0.12;14.8;5.16;23.4;10.1;43;3.14;22.6;6.63;11.05;0.2;0.023;0.77;11.6;28.6;3.78;544;12.45;0.53;6.3;53.7;430;7.1;57.8;0.009;3.32;24.5;8.9;12;449;0.42;0.025;5.85;0.175;1.97;1.3;202;0.7;16.9;171;5.8
RC-002473;992744.0.84;1103563.4;507.72;Lcc;No productiva;ME-MS61;0.9;8.04;33;610;2.24;0.22;10.7;6.57;74;6.8;91;6.54;36;3.13;18.65;0.2;0.038;1.27;38;44.7;0.73;231;52.5;0.74;10.8;84.7;960;12.9;92.6;0.03;2.42;45.6;13;18;613;0.7;0.06;11.05;0.294;3.61;5.3;435;1.3;14;167;5.8
RC-002474;992741.0.32;1103562.41;504.14;Lcc;No productiva;ME-MS61;0.96;8.12;39.7;370;2.44;0.22;5.03;5.74;57.5;7.6;87;6.46;37.1;3.23;20;0.1;0.041;1.37;26.9;47.1;0.38;154;75.8;0.78;11.3;94.8;1050;14.5;74.1;0.021;3.07;53.2;14.3;15;588;0.72;0.06;8.98;0.313;3.87;4.8;455;1.3;6.4;154;3.8
RC-002475;992739.0.2;1103562.1;501.81;Lcc;No productiva;ME-MS61;1.32;8.37;68.9;200;2.77;0.31;6.03;4.37;76.6;11;95;6.81;54.7;4.86;20.7;0.1;0.032;1.34;36.6;56.5;0.4;170;48.3;0.81;12.7;121;1230;17.5;73.1;0.024;4.86;67.2;14.3;23;664;0.84;0.06;11.9;0.341;3.71;3.4;353;1.5;8.3;127;3.9
RC-002476;992735.0.48;1103561.38;498.21;Lcc;No productiva;ME-MS61;1.07;7.59;62.1;350;2.33;0.23;8.11;8.8;62.9;7.6;113;6.72;54.3;3.4;18.5;0.1;0.06;1.43;30.5;33.6;0.53;181;95.5;0.62;10.7;128;1080;12.9;86.4;0.039;3.09;56.2;13.5;29;471;0.68;0.1;9.32;0.291;4.77;8.2;688;1.4;11.9;208;4.7
RC-002477;992731.0.37;1103560.66;494.4;Lcc;No productiva;ME-MS61;1.44;7.48;94.7;180;2.25;0.26;5.68;15.7;51.1;7.8;161;7.85;98.8;3.21;19.35;0.1;0.074;1.63;24.5;26;0.24;135;160.5;0.53;10.9;170.5;1510;15.5;91.4;0.055;3.32;68.4;13.9;46;375;0.7;0.12;8.44;0.296;6.18;14.2;1060;1.6;9.7;341;3.9
RC-002478;992729.0.21;1103560.28;491.85;Lcc;No productiva;ME-MS61;0.53;5.13;59.4;520;1.09;0.12;14.5;20.8;29.1;4.6;105;5.56;183.5;2.89;12.25;0.3;0.112;1.17;14;9.3;1.03;328;151;0.23;5.8;110;1300;7.5;94.5;0.069;1.7;32;10.5;27;253;0.4;0.06;6.54;0.169;5.56;19.5;1000;1;16.3;947;7.5
RC-002479;992728.0.25;1103560.11;490.87;Lcc;No productiva;ME-MS61;1.24;7.79;91.6;320;2.48;0.23;7.13;19.25;52.1;8.2;149;7.47;90.7;3.01;19.95;0.1;0.089;1.75;24.9;24.3;0.3;184;129.5;0.48;11.1;162;1280;14.1;86;0.056;2.99;64.6;13.5;44;381;0.69;0.11;8.33;0.312;6.51;12.6;1220;1.5;10.5;437;4.1
RC-002481;992727.0.52;1103559.98;490.13;Lcc;No productiva;ME-MS61;0.76;3.22;161.5;100;0.92;0.12;21.2;11.95;16.6;15.6;82;2.56;165;6.39;7.31;0.1;0.089;0.62;8;10.7;0.83;396;43.2;0.21;3.1;163;760;7.6;48.3;0.03;5.69;40.8;6.9;67;295;0.2;0.07;3.36;0.093;2.55;4.9;462;0.5;14.5;398;5
RC-002482;992727.0.9;1103559.91;489.69;Lcc;No productiva;ME-MS61;1.71;8.23;129;170;2.43;0.27;5.04;18.95;45.9;12.5;197;9.54;108;3.86;22;0.2;0.076;1.87;22.3;27.2;0.18;128;126;0.54;13.2;206;1130;17.7;104.5;0.074;4.21;82.4;14.2;68;395;0.78;0.14;8.75;0.351;6.99;16.1;1180;1.9;6.8;364;4.8
RC-002483;992726.0.29;1103559.76;488.88;Lcc;No productiva;ME-MS61;1.46;7.81;119;160;2.79;0.29;5.92;12.5;56.4;9.6;148;8.19;80.9;3.64;20.9;0.1;0.074;1.71;25.8;29.9;0.14;128;98.1;0.56;11.6;193.5;1440;16.7;96;0.053;4.07;89.3;13.7;56;410;0.73;0.13;8.77;0.319;6.47;10.3;1100;1.7;10;271;4
RC-002484;992725.0.56;1103559.63;488.13;Lcc;No productiva;ME-MS61;0.67;5.47;53.6;400;1.38;0.11;12.45;30.6;45.6;5;126;5.78;747;2.3;12.75;0.4;0.18;1.19;23.5;12.3;0.28;280;114.5;0.29;5.8;171;1310;7.8;93.3;0.07;1.65;33.5;11;33;275;0.39;0.06;6.71;0.181;5.54;19.9;931;0.9;16.5;1170;7.2
RC-002485;992724.0.23;1103559.4;486.79;Lcc;No productiva;ME-MS61;1.66;7.74;91.6;190;2.54;0.25;6;11.25;48.6;7.4;203;7.12;78.2;3.52;18.85;0.1;0.072;1.54;24.5;28.9;0.31;137;116.5;0.54;9.2;187;1450;17.9;91.6;0.062;3.59;74;14.1;64;411;0.57;0.12;8.02;0.271;5.63;11.3;881;1.3;10;422;4.1
RC-002486;992722.0.35;1103559.7;484.88;Lcc;No productiva;ME-MS61;1.08;4.97;71.9;190;1.4;0.14;15.6;9.84;40;9.4;146;4.45;65;4.34;11.1;0.2;0.074;0.96;22.4;16.7;0.72;297;66.9;0.32;5;129;1200;9.9;73.4;0.053;3.7;45;9;54;346;0.32;0.1;5.47;0.163;4.03;9.3;608;0.7;15.3;262;7.3
RC-002487;992720.0.47;1103558.74;482.97;Lcc;No productiva;ME-MS61;1.46;7.33;85.6;180;2.33;0.2;5.73;14;34.9;7.1;195;7.09;101;3.2;18.2;0.1;0.061;1.6;17.6;23.8;0.17;113;128.5;0.48;8;162;1580;14.4;85.1;0.068;3.44;64.4;12.3;57;365;0.55;0.12;7.27;0.258;6.33;13;1080;1.2;9.5;323;4.4
RC-002488;992718.0.52;1103558.39;480.99;Lcc;No productiva;ME-MS61;0.94;3.21;43.7;350;0.86;0.1;22.2;5.62;18.3;5.1;110;2.66;61;2.81;7.59;0.2;0.062;0.67;10.3;8.4;0.68;350;46.3;0.19;3.2;95.5;550;6.4;52;0.049;1.96;28.7;6.7;38;285;0.22;0.08;3.38;0.1;2.83;6.3;508;0.6;15;221;4.7
RC-002489;992716.0.85;1103558.1;479.3;Lcc;No productiva;ME-MS61;1.34;5.2;67.7;240;1.61;0.14;14.6;7.9;36.2;5.7;136;4.93;75;3.08;12.25;0.3;0.071;1.05;21.1;15.5;0.28;236;82.9;0.31;5;128;960;12.2;82;0.061;2.9;50.1;9.3;52;317;0.33;0.1;5.62;0.156;4.46;9.8;790;0.9;11.6;258;9
RC-002490;992715.0.32;1103557.83;477.74;Lcc;No productiva;ME-MS61;1.64;6.97;70.9;300;2.51;0.18;6.69;14;43.3;6.7;187;6.58;82;2.82;17.1;0.1;0.099;1.43;22.8;24.6;0.28;162;115.5;0.45;7.3;151;1530;18.3;93.7;0.076;2.78;64.2;12;60;370;0.5;0.11;7.33;0.234;6.32;14.4;1040;1.2;11.1;541;4.1
RC-002491;992713.0.58;1103557.52;475.97;Lcc;No productiva;ME-MS61;1.71;7.38;103;140;2.53;0.24;6.82;25.7;54.7;9.7;172;7.16;124.5;4.05;17.05;0.7;0.134;1.4;29.4;26.8;0.5;187;101.5;0.47;8.3;186;1420;20.6;111;0.063;4.01;71.4;12.8;68;396;0.54;0.12;8.72;0.248;5.59;12.5;942;1.2;12.9;1500;22.1
RC-002492;992710.0.76;1103557.3;473.11;Lcc;No productiva;ME-MS61;1.19;7.32;91.3;250;2.13;0.22;7.43;46.1;62.3;7.6;137;7.34;133.5;3.13;18.15;0.2;0.22;1.46;32.1;24.8;0.39;172;141;0.47;9.9;165;1510;11.9;104.5;0.057;3.05;59.3;13.1;44;377;0.62;0.11;8.91;0.273;5.83;15.6;1080;1.4;10.5;2660;3.6
RC-002493;992707.0.62;1103556.47;469.93;Lcc;No productiva;ME-MS61;1.24;7.54;47.3;260;2.14;0.23;6.98;13;62.9;9.4;85;6.01;45.3;3.58;18.15;0.1;0.043;1.22;30.6;44.8;0.52;163;57;0.67;10.8;91.9;970;14.2;75.4;0.025;3.5;54.6;12.7;17;573;0.69;0.06;9.5;0.295;3.8;4.6;435;1.3;9.2;526;4.1
RC-002494;992703.0.97;1103555.83;466.21;Lcc;No productiva;ME-MS61;1.09;8.25;38.8;460;2.31;0.23;8.77;13.05;74.7;8.4;85;6.84;41.6;3.38;19.6;0.2;0.043;1.29;37.9;48.6;0.83;189;52.7;0.7;11.5;88.1;920;12.6;93.9;0.027;2.93;47.7;14;15;622;0.73;0.05;11.3;0.314;3.85;5.3;454;1.4;12.3;598;4.8
RC-002495;992700.0.19;1103555.16;462.38;Lcc;No productiva;ME-MS61;0.81;6.49;75.5;250;1.8;0.19;10.45;61;54;6.9;108;6.5;90.1;2.65;15.35;0.5;0.09;1.29;28.9;17.9;0.47;177;137;0.35;7.6;131.5;1420;10.6;104;0.042;2.5;42;10.9;31;332;0.5;0.06;7.95;0.218;5.43;17.8;1020;1.3;12.6;3090;9.1
RC-002496;992698.0.47;1103554.86;460.63;Lcc;No productiva;ME-MS61;1.04;7.22;100.5;390;2.06;0.21;6.73;83.4;44.7;7.4;117;7.59;95.2;2.34;18;0.1;0.114;1.53;23.7;20.2;0.3;128;153.5;0.38;9.6;154.5;1220;12.4;109;0.046;2.45;43.9;12.2;35;353;0.61;0.11;7.84;0.27;6.26;15.5;1400;1.6;6.9;4300;4.4
RC-002497;992696.0.61;1103554.53;458.74;Lcc;No productiva;ME-MS61;0.96;6.91;54.8;470;1.96;0.19;13.5;31.9;57;7;100;5.98;66.8;2.67;17.05;0.4;0.052;1.22;30.9;26.8;0.51;203;69.8;0.45;9;113;1010;10.6;96.6;0.037;2.44;47.6;10.9;24;500;0.57;0.07;8.09;0.248;4.32;8.4;634;1.1;14.5;1640;9.9
RC-002498;992693.0.7;1103554.2;455.78;Lcc;No productiva;ME-MS61;0.88;6.62;65.5;330;1.68;0.18;12.35;33.5;49.1;6.5;87;5.99;58;2.89;15.75;0.2;0.043;1.2;26.2;21.9;0.53;193;85.6;0.39;8.1;119.5;1110;11;92.4;0.034;2.64;57.1;10;23;424;0.5;0.07;7.37;0.224;4.67;12.6;656;1.1;12.3;1690;12.7
RC-002499;992692.0.44;1103553.8;454.51;Lcc;No productiva;ME-MS61;1.01;6.25;91.9;230;1.31;0.18;10.8;101;41.2;7.4;127;6.72;141;2.92;15.5;0.3;0.132;1.3;22.5;10.5;0.47;163;178;0.27;7;159;1700;12.5;103.5;0.049;2.93;57.2;10.3;52;276;0.44;0.1;7.15;0.192;6.8;26.6;1190;1.2;12.3;4980;5.6
RC-002501;992690.0.46;1103553.45;452.5;Lcc;No productiva;ME-MS61;1.25;7.66;98;190;1.86;0.21;8.47;62.6;63.7;9.2;136;7.58;119.5;3.35;18.9;0.1;0.085;1.47;34.5;22.3;0.46;152;125;0.41;11;160.5;1310;14;115.5;0.041;3.44;66.2;12.2;47;403;0.67;0.11;8.94;0.291;5.88;13.4;900;1.5;11.3;2790;4.7
RC-002502;992686.0.8;1103552.8;448.78;Lcc;No productiva;ME-MS61;1.32;8.18;63.3;380;2.12;0.21;10.2;30.4;61.7;8.7;114;7.72;63.7;3.13;20.2;0.2;0.055;1.45;33;30.3;0.65;190;88.3;0.51;9.9;123.5;1020;14.1;109;0.037;3;60.4;12.5;30;542;0.61;0.09;8.86;0.279;5.36;9.3;657;1.3;12.5;1330;5.7
RC-002503;992683.0.32;1103552.19;445.25;Lcc;No productiva;ME-MS61;1.47;8.47;67.9;300;2.23;0.23;6.58;31.1;58.8;10.7;107;8.1;74.7;3.62;21.6;0.1;0.055;1.49;30.1;36.5;0.64;154;91.8;0.56;12.5;128;1180;16.1;99.2;0.033;3.71;68.6;14.1;29;530;0.74;0.06;9.75;0.329;5.33;8.2;671;1.5;7.5;1360;4.5
PA-00;992143.800;1104728.5;525.87;Veta;Productiva;AQ252;0.026;0.22;10.5;191.7;0.05;0.22;33.02;1.67;2.5;2.2;1.6;0.01;8.24;0.94;0.6;0.01;0.01;0.005;0.8;0.2;0.25;783;0.76;0.19;0.03;2.6;0.021;4.18;0.2;0.001;0.73;0.21;49.7;0.05;61.8;0.025;0.01;0.05;0.0005;0.01;1.3;4;0.05;44.09;40.2;0.1
PA-02;992143.800;1104728.6;525.87;Veta;Productiva;AQ252;0.225;0.06;76.2;16.3;0.3;2.36;2.7;1.64;28.4;15.8;2.1;0.01;22.04;4.45;0.3;0.01;0.01;0.005;13.7;0.3;0.42;162;4.46;0.04;0.02;46.2;0.234;9.73;0.2;0.004;4.82;3.39;2.4;1.4;11.2;0.025;0.15;3.9;0.0005;0.09;1;1;0.05;7.56;84.6;0.05
PA-03;992131.500;1104689.1;523.99;Veta;Productiva;AQ252;0.048;0.04;9;125.3;0.2;0.36;16.01;0.5;17.8;3.7;2.4;0.02;4.33;1.45;0.1;0.01;0.01;0.005;8.5;0.9;3.88;1100;1.36;0.019;0.01;10.2;0.132;2.94;0.4;0.002;0.37;0.52;6.3;0.05;51;0.025;0.01;0.9;0.0005;0.04;0.7;5;0.05;16.52;97.7;0.05
PA-05;992102.200;1104740.5;515.58;Veta;Productiva;AQ252;0.038;0.04;11.7;86.1;0.3;0.36;7.11;0.91;9.6;4.1;2.7;0.01;3.55;1.17;0.2;0.01;0.01;0.005;4.4;0.2;2.33;609;2.86;0.04;0.01;10.8;0.163;2.01;0.05;0.0005;0.55;0.51;3.9;0.05;25.9;0.025;0.01;1.8;0.0005;0.02;1.1;4;0.05;7.97;77.3;0.05
PA-07;992176.900;1104890;542.74;Veta;Productiva;MA250;0.059;6.69;40.4;11;1;2.36;9.16;0.67;13.27;11;14;0.05;10.2;1.45;17.43;0.08;0.02;0.08;5.8;0.7;1.38;653;3.18;6.740;2.39;22.8;0.18;4.95;2.3;0.005;0.43;2.31;5.5;0.6;71;0.2;1.58;8.2;0.076;0.11;2.4;66;0.4;12.7;32.9;3.6
PA-26;992150.116;1104751.49;519.84;Veta;Productiva;MA250;0.026;0.18;1.7;141;48;0.02;36.06;0.96;11.95;0.4;1;0.05;1.9;0.43;0.7;0.01;0.02;0.005;5.8;0.4;0.51;895;0.13;0.127;0.14;0.05;0.018;2.45;0.2;0.002;0.24;0.07;33.6;0.4;116;0.05;3.33;0.3;0.003;0.03;0.8;5;0.2;52.7;41.6;0.1
PA-27;992150.116;1104751.49;519.84;Veta;Productiva;MA250;0.035;0.43;4.3;49;6;0.07;34.19;2.54;35.5;1.3;2;0.05;2.9;0.49;1.46;0.01;0.02;0.03;18.7;0.3;0.63;845;1.43;0.273;0.33;2.4;0.025;1.38;1.3;0.005;0.38;0.14;28.6;0.6;87;0.05;3.62;1.6;0.009;0.03;2.9;8;0.05;37.9;34.8;0.1
