Sample;Este (X);Norte (Y);Altura (Z);Litología;Productividad;Método;Ag_ppm;Al_pct;As_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Hf_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Sc_ppm;Se_ppm;Sr_ppm;Ta_ppm;Te_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Zn_ppm;Zr_ppm
PA-100;991963.640;1104135.27;630.6;Lcc;Productiva;MA250;0.021;2.77;41.5;27;0.5;0.22;12.78;0.8;19.89;34.9;15;0.05;8.9;9.49;3.31;1.2;0.02;0.03;9.5;0.05;4.52;1086;3.07;2.478;0.65;182.3;0.017;2.95;1.2;0.002;9.32;0.59;25.9;23;48;0.05;0.29;1.4;0.017;0.025;0.7;50;0.2;21.1;20.8;1
PA-102;991953.125;1104135.3;669.7;Lcc;Productiva;MA250;0.045;1.52;13.3;8;0.5;0.14;16.25;0.43;32.28;24.5;24;0.05;21.4;8.24;2.12;1;0.03;0.02;16;0.2;6.27;1416;2;1.274;2.53;83.8;0.085;2.37;1;0.002;6.9;0.84;19;5.6;63;0.2;1.36;4;0.066;0.025;0.7;96;0.5;15.8;15.4;2
PA-28;992150.116;1104751.75;519.42;Lcc;Productiva;MA250;0.19;6.34;43;528;1;1.41;11.23;3;15.74;12.2;15;0.1;12.5;2.29;15.81;0.11;0.04;0.21;7.7;2.8;1.09;627;2.69;5.409;1.89;27.7;0.126;5.76;8.7;0.001;0.76;2.71;9.5;1;70;0.1;1.58;7.1;0.061;0.15;3.1;79;0.2;20.2;179;5
PA-29;992150.26;1104751.16;519;Lcc;Productiva;MA250;0.101;6.31;32.2;649;6;0.89;5.34;1.09;158.29;9;17;0.05;10.3;1.62;21.79;0.01;0.01;0.16;85.9;2.6;1.04;419;4.55;6.727;2.56;22.5;0.173;4.09;2.5;0.003;0.54;1.86;6;0.6;56;0.2;0.66;13.7;0.085;0.12;1.7;84;0.4;16;131.5;0.2
PA-30;992148.856;1104751.2;519.84;Lcc;Productiva;MA250;0.123;3.14;16.6;69;0.5;0.87;11.85;0.75;5.07;5.5;10;0.05;6.5;1.66;8.54;0.01;0.01;0.04;1.9;0.4;3.67;1171;2.36;4.475;1.73;18.8;0.13;2.82;0.9;0.001;0.3;1.43;4;0.5;66;0.1;2.64;3.9;0.054;0.1;2.2;32;0.2;8.3;121;0.3
PA-36;992143.3;1104735.3;521.84;Lcc;Productiva;MA250;0.094;3.65;10.5;37;0.5;0.41;11.93;0.71;5.28;4.6;15;0.05;3.4;1.52;11.55;0.01;0.01;0.17;2.3;0.8;3.65;1095;1.48;4.313;1.41;13.5;0.147;2.07;5.1;0.001;0.24;0.74;4.9;0.15;56;0.1;3.02;3.3;0.046;0.07;1.9;79;0.2;9.4;141.1;0.6
PA-37;992143.3;1104735.3;521.84;Lcc;Productiva;MA250;0.275;6.62;61.3;171;0.5;2.01;7.34;1.39;53.99;17.5;13;0.05;19.5;2.59;15.93;0.01;0.03;0.09;27.2;1;0.13;325;6.54;6.482;2.48;37.1;0.252;9.41;2;0.003;0.84;3.31;6.2;1.4;80;0.2;0.69;12.1;0.081;0.21;2.8;43;0.3;12.3;71.4;0.4
PA-51;992103.351;1104834.08;527.76;Lcc;Productiva;MA250;0.063;7.21;59.2;38;1;3.35;10.16;1.26;8.64;23.1;20;0.3;20.6;2.56;25.23;0.06;0.02;0.51;3.1;3.1;0.53;425;3.24;6.193;1.95;46.5;0.188;5.34;21.3;0.01;0.92;3.38;10.3;1;57;0.1;0.92;10.9;0.075;0.27;3.4;212;0.2;13.8;69.4;2.1
PA-52;992107.150;1104837.92;527.76;Lcc;Productiva;MA250;0.079;5.73;23.2;27;0.5;0.9;5.54;1.77;47.81;14.4;15;0.05;11.7;5.43;14.76;0.09;0.02;0.03;24.4;0.5;1.42;592;0.94;6.769;1.8;22.1;0.051;2.77;0.3;0;1.33;1.25;2.9;0.5;46;0.1;0.4;9.3;0.06;0.03;2.3;21;0.2;11.4;101.4;4.5
PA-53;992110.161;1104837.9;527.76;Lcc;Productiva;MA250;0.109;8.06;44.4;8;0.5;2.2;1.82;0.94;7.35;11.2;12;0.05;17.9;1.89;23.51;2.28;0.01;0.03;2.5;0.8;0.52;221;6.93;8.077;1.76;27.2;0.268;6.19;0.7;0.02;0.62;2.84;1.5;0.4;41;0.1;0.11;13.5;0.056;0.43;3.3;20;0.3;7.4;42.6;91.4
